source_file,source_sheet,source_cell,source_row_offset,source_col_offset,destination_file,destination_sheet,destination_cell,destination_row_offset,destination_col_offset
src.xlsx,Sheet1,H390,-2,-2,dst.xlsx,Sheet1,A937,3,-2
src.xlsx,Sheet1,A5,-2,1,dst.xlsx,Sheet1,F249,2,1
src.xlsx,Sheet1,D363,2,-3,dst.xlsx,Sheet1,C971,-2,2
src.xlsx,Sheet1,F907,-3,-2,dst.xlsx,Sheet1,D347,2,-1
src.xlsx,Sheet1,C576,1,-2,dst.xlsx,Sheet1,A528,0,-2
src.xlsx,Sheet1,G420,3,3,dst.xlsx,Sheet1,D881,-1,-3
src.xlsx,Sheet1,E17,-3,2,dst.xlsx,Sheet1,D496,1,-1
src.xlsx,Sheet1,H955,3,1,dst.xlsx,Sheet1,H101,2,0
src.xlsx,Sheet1,C593,-1,2,dst.xlsx,Sheet1,J450,0,3
src.xlsx,Sheet1,B976,2,-1,dst.xlsx,Sheet1,E168,-2,1
src.xlsx,Sheet1,E466,-1,-2,dst.xlsx,Sheet1,F687,0,0
src.xlsx,Sheet1,G428,2,0,dst.xlsx,Sheet1,J435,0,-3
src.xlsx,Sheet1,B811,-1,3,dst.xlsx,Sheet1,F728,-3,-1
src.xlsx,Sheet1,C80,3,1,dst.xlsx,Sheet1,G714,0,2
src.xlsx,Sheet1,A239,-1,3,dst.xlsx,Sheet1,I818,-3,3
src.xlsx,Sheet1,A362,-3,2,dst.xlsx,Sheet1,F953,2,-1
src.xlsx,Sheet1,B556,-1,-3,dst.xlsx,Sheet1,F790,1,0
src.xlsx,Sheet1,H219,3,2,dst.xlsx,Sheet1,A299,1,1
src.xlsx,Sheet1,I658,1,-1,dst.xlsx,Sheet1,E446,2,0
src.xlsx,Sheet1,C83,0,-1,dst.xlsx,Sheet1,F626,-2,1
src.xlsx,Sheet1,A726,-1,1,dst.xlsx,Sheet1,B64,-1,1
src.xlsx,Sheet1,I23,2,2,dst.xlsx,Sheet1,D471,3,-3
src.xlsx,Sheet1,G570,0,3,dst.xlsx,Sheet1,E674,2,-3
src.xlsx,Sheet1,D254,1,2,dst.xlsx,Sheet1,E880,2,0
src.xlsx,Sheet1,H981,-2,3,dst.xlsx,Sheet1,F236,3,-2
src.xlsx,Sheet1,G712,-2,3,dst.xlsx,Sheet1,G733,3,2
src.xlsx,Sheet1,B356,0,2,dst.xlsx,Sheet1,C193,0,-1
src.xlsx,Sheet1,F534,-3,-2,dst.xlsx,Sheet1,G732,3,0
src.xlsx,Sheet1,C4,-3,-3,dst.xlsx,Sheet1,D745,-3,-1
src.xlsx,Sheet1,E197,1,-3,dst.xlsx,Sheet1,C383,-3,-1
src.xlsx,Sheet1,F802,1,2,dst.xlsx,Sheet1,H238,3,-2
src.xlsx,Sheet1,G736,1,0,dst.xlsx,Sheet1,G776,3,-1
src.xlsx,Sheet1,G307,-3,2,dst.xlsx,Sheet1,E160,-3,2
src.xlsx,Sheet1,C207,-2,-2,dst.xlsx,Sheet1,I281,0,1
src.xlsx,Sheet1,A253,2,-2,dst.xlsx,Sheet1,F354,-3,1
src.xlsx,Sheet1,E257,-1,3,dst.xlsx,Sheet1,G412,1,-1
src.xlsx,Sheet1,F298,2,0,dst.xlsx,Sheet1,G558,0,3
src.xlsx,Sheet1,D711,0,-1,dst.xlsx,Sheet1,B740,-3,1
src.xlsx,Sheet1,F278,-3,3,dst.xlsx,Sheet1,F323,2,-3
src.xlsx,Sheet1,J370,3,3,dst.xlsx,Sheet1,I618,-1,-2
src.xlsx,Sheet1,I295,-1,-1,dst.xlsx,Sheet1,G662,-1,0
src.xlsx,Sheet1,E519,-1,-3,dst.xlsx,Sheet1,C911,0,1
src.xlsx,Sheet1,J69,-2,-2,dst.xlsx,Sheet1,I964,1,-3
src.xlsx,Sheet1,E588,-3,-2,dst.xlsx,Sheet1,G633,-2,-1
src.xlsx,Sheet1,I146,-2,-2,dst.xlsx,Sheet1,C351,3,1
src.xlsx,Sheet1,F741,-1,3,dst.xlsx,Sheet1,J659,-1,-2
src.xlsx,Sheet1,I9,-2,2,dst.xlsx,Sheet1,F840,1,1
src.xlsx,Sheet1,C731,0,-2,dst.xlsx,Sheet1,F283,3,0
src.xlsx,Sheet1,J811,-3,-2,dst.xlsx,Sheet1,B287,-3,-2
src.xlsx,Sheet1,H288,-1,-1,dst.xlsx,Sheet1,E795,-1,3
src.xlsx,Sheet1,C132,-2,0,dst.xlsx,Sheet1,C951,3,3
src.xlsx,Sheet1,G692,-2,-1,dst.xlsx,Sheet1,C281,-2,-1
src.xlsx,Sheet1,C147,3,2,dst.xlsx,Sheet1,G895,-3,1
src.xlsx,Sheet1,A813,-2,-1,dst.xlsx,Sheet1,I162,1,1
src.xlsx,Sheet1,H329,1,3,dst.xlsx,Sheet1,C388,-1,0
src.xlsx,Sheet1,D847,-2,3,dst.xlsx,Sheet1,G483,-1,1
src.xlsx,Sheet1,H658,-1,2,dst.xlsx,Sheet1,D859,2,-3
src.xlsx,Sheet1,C939,-1,3,dst.xlsx,Sheet1,J493,0,3
src.xlsx,Sheet1,E930,1,3,dst.xlsx,Sheet1,J272,3,0
src.xlsx,Sheet1,A664,3,1,dst.xlsx,Sheet1,F862,-2,-3
src.xlsx,Sheet1,B280,-2,1,dst.xlsx,Sheet1,B470,0,2
src.xlsx,Sheet1,B599,-3,2,dst.xlsx,Sheet1,C400,1,-2
src.xlsx,Sheet1,F924,0,0,dst.xlsx,Sheet1,B270,3,2
src.xlsx,Sheet1,C82,-2,-2,dst.xlsx,Sheet1,C515,-2,3
src.xlsx,Sheet1,A470,0,0,dst.xlsx,Sheet1,G101,3,-1
src.xlsx,Sheet1,D904,-1,1,dst.xlsx,Sheet1,J257,-2,-3
src.xlsx,Sheet1,E817,0,0,dst.xlsx,Sheet1,F32,1,3
src.xlsx,Sheet1,A334,2,-2,dst.xlsx,Sheet1,G94,0,-1
src.xlsx,Sheet1,E231,2,-1,dst.xlsx,Sheet1,J57,3,-1
src.xlsx,Sheet1,J431,-1,3,dst.xlsx,Sheet1,J711,-1,-2
src.xlsx,Sheet1,E424,-3,1,dst.xlsx,Sheet1,H14,1,0
src.xlsx,Sheet1,E424,-1,2,dst.xlsx,Sheet1,H467,0,0
src.xlsx,Sheet1,C560,3,0,dst.xlsx,Sheet1,A254,-3,-3
src.xlsx,Sheet1,F341,3,-2,dst.xlsx,Sheet1,I774,-2,2
src.xlsx,Sheet1,E893,-2,0,dst.xlsx,Sheet1,B465,0,1
src.xlsx,Sheet1,G821,-1,-1,dst.xlsx,Sheet1,I84,-1,3
src.xlsx,Sheet1,H500,0,-3,dst.xlsx,Sheet1,B550,0,2
src.xlsx,Sheet1,J886,-3,0,dst.xlsx,Sheet1,I989,2,1
